,dataset,mode,size,channels,auc,class,f1,run
333,pokemon,train,4,3072.0,0.5083003952569171,9,,0
334,pokemon,train,4,3072.0,0.6593567251461988,10,,0
335,pokemon,train,4,3072.0,0.5280632411067193,11,,0
336,pokemon,train,4,3072.0,0.3505402160864346,12,,0
337,pokemon,train,4,3072.0,0.2923728813559322,13,,0
338,pokemon,train,4,3072.0,0.7602459016393442,14,,0
339,pokemon,train,4,3072.0,0.3841897233201581,15,,0
340,pokemon,train,4,3072.0,0.7305785123966942,16,,0
341,pokemon,train,4,3072.0,0.3883928571428571,17,,0
342,pokemon,train,4,3072.0,0.5977324263038549,0,,1
343,pokemon,train,4,3072.0,0.5818181818181818,1,,1
344,pokemon,train,4,3072.0,0.5198863636363636,2,,1
345,pokemon,train,4,3072.0,0.6049382716049383,3,,1
346,pokemon,train,4,3072.0,0.5761363636363637,4,,1
347,pokemon,train,4,3072.0,0.5272727272727273,5,,1
348,pokemon,train,4,3072.0,0.539655172413793,6,,1
349,pokemon,train,4,3072.0,0.5698275862068966,7,,1
350,pokemon,train,4,3072.0,0.2930327868852459,8,,1
351,pokemon,train,4,3072.0,0.4316205533596838,9,,1
352,pokemon,train,4,3072.0,0.5263157894736843,10,,1
353,pokemon,train,4,3072.0,0.5304347826086957,11,,1
354,pokemon,train,4,3072.0,0.3505402160864345,12,,1
355,pokemon,train,4,3072.0,0.6080508474576272,13,,1
356,pokemon,train,4,3072.0,0.4262295081967213,14,,1
357,pokemon,train,4,3072.0,0.3438735177865613,15,,1
358,pokemon,train,4,3072.0,0.4578512396694216,16,,1
359,pokemon,train,4,3072.0,0.5790816326530612,17,,1
360,pokemon,train,4,3072.0,0.583219954648526,0,,2
361,pokemon,train,4,3072.0,0.5272727272727273,1,,2
362,pokemon,train,4,3072.0,0.4642045454545455,2,,2
363,pokemon,train,4,3072.0,0.4159544159544159,3,,2
364,pokemon,train,4,3072.0,0.490340909090909,4,,2
365,pokemon,train,4,3072.0,0.6380165289256199,5,,2
366,pokemon,train,4,3072.0,0.4560344827586207,6,,2
367,pokemon,train,4,3072.0,0.5612068965517242,7,,2
368,pokemon,train,4,3072.0,0.6577868852459017,8,,2
369,pokemon,train,4,3072.0,0.5383399209486167,9,,2
370,pokemon,train,4,3072.0,0.5197368421052632,10,,2
371,pokemon,train,4,3072.0,0.433201581027668,11,,2
372,pokemon,train,4,3072.0,0.5114045618247298,12,,2
373,pokemon,train,4,3072.0,0.5116525423728814,13,,2
374,pokemon,train,4,3072.0,0.5655737704918034,14,,2
375,pokemon,train,4,3072.0,0.37470355731225297,15,,2
376,pokemon,train,4,3072.0,0.4528925619834711,16,,2
377,pokemon,train,4,3072.0,0.5484693877551021,17,,2
378,pokemon,test,4,3072.0,,0,,0
379,pokemon,test,4,3072.0,0.3103448275862069,1,,0
380,pokemon,test,4,3072.0,0.5811965811965812,2,,0
381,pokemon,test,4,3072.0,0.3214285714285714,3,,0
382,pokemon,test,4,3072.0,0.4307692307692308,4,,0
383,pokemon,test,4,3072.0,,5,,0
384,pokemon,test,4,3072.0,0.2976190476190476,6,,0
385,pokemon,test,4,3072.0,,7,,0
386,pokemon,test,4,3072.0,0.8333333333333334,8,,0
387,pokemon,test,4,3072.0,,9,,0
388,pokemon,test,4,3072.0,0.0357142857142857,10,,0
389,pokemon,test,4,3072.0,0.3933333333333333,11,,0
390,pokemon,test,4,3072.0,,12,,0
391,pokemon,test,4,3072.0,0.25,13,,0
392,pokemon,test,4,3072.0,,14,,0
393,pokemon,test,4,3072.0,0.8333333333333334,15,,0
394,pokemon,test,4,3072.0,,16,,0
395,pokemon,test,4,3072.0,0.5297619047619048,17,,0
396,pokemon,test,4,3072.0,,0,,1
397,pokemon,test,4,3072.0,0.6896551724137929,1,,1
398,pokemon,test,4,3072.0,0.6581196581196581,2,,1
399,pokemon,test,4,3072.0,0.4761904761904762,3,,1
400,pokemon,test,4,3072.0,0.5769230769230769,4,,1
401,pokemon,test,4,3072.0,,5,,1
402,pokemon,test,4,3072.0,0.5476190476190476,6,,1
403,pokemon,test,4,3072.0,,7,,1
404,pokemon,test,4,3072.0,0.5666666666666667,8,,1
405,pokemon,test,4,3072.0,,9,,1
406,pokemon,test,4,3072.0,0.6309523809523809,10,,1
407,pokemon,test,4,3072.0,0.5933333333333333,11,,1
408,pokemon,test,4,3072.0,,12,,1
409,pokemon,test,4,3072.0,0.30952380952380953,13,,1
410,pokemon,test,4,3072.0,,14,,1
411,pokemon,test,4,3072.0,0.2,15,,1
412,pokemon,test,4,3072.0,,16,,1
413,pokemon,test,4,3072.0,0.3869047619047619,17,,1
414,pokemon,test,4,3072.0,,0,,2
415,pokemon,test,4,3072.0,0.5689655172413792,1,,2
416,pokemon,test,4,3072.0,0.3162393162393162,2,,2
417,pokemon,test,4,3072.0,0.48809523809523797,3,,2
418,pokemon,test,4,3072.0,0.4615384615384615,4,,2
419,pokemon,test,4,3072.0,,5,,2
